t,ax,ay,az,gx,gy,gz
4.945324420928955,-15669,-8903,9182,-19027,26508,-6353
4.957258224487305,-13650,-11771,9435,-12495,21366,-6824
4.969190359115601,-17680,-11425,8183,-6538,18632,796
4.981121301651001,-16905,-6817,11358,438,11285,8476
4.993048191070557,-21783,-3324,14340,8448,7834,1216
5.004948139190674,-26377,-249,10530,6789,-770,1613
5.0169548988342285,-12135,-5031,13149,4260,-13913,-1483
5.029118776321411,-5077,-9828,13096,9497,-9012,1583
5.041399955749512,-13818,-4651,9373,15777,542,6160
5.0534608364105225,-11241,-8418,13054,17147,-14457,-1787
5.065410852432251,-7901,-7367,7122,26114,-13906,-461
5.077350378036499,-7104,-1802,7872,30289,-9721,-2305
5.0892744064331055,-6892,3181,12286,32431,-5900,485
5.1012187004089355,-8757,8440,12140,30399,-2290,5717
5.113122940063477,-12078,7871,12144,18417,-2957,-224
5.125056743621826,-12715,8856,12055,13741,-6118,-2855
5.136988878250122,-19070,4126,11836,9311,-10735,-7221
5.14893102645874,-15765,-6,11474,9719,-22501,-7856
5.160882472991943,-5664,3610,16935,13437,-28472,-6746
5.172797679901123,-3631,12644,16974,12902,-22561,-4206
5.184743881225586,-14573,10950,14003,-4421,-1695,32767
5.196683883666992,-29745,2279,13103,-15295,-13198,23374
5.208619117736816,-8090,-17250,9077,-6545,-32768,-14332
5.220608472824097,5185,-24093,10653,21033,-32768,-8017
5.232518434524536,-1413,-6067,11833,32767,-20731,29519
5.244467258453369,2452,17442,12723,32474,-27187,31336
5.256408452987671,2461,5732,14661,32767,-20859,31782
5.268343448638916,-8547,-4117,11418,32767,-16742,32090
5.2803120613098145,-7085,6749,6220,32761,-27761,32767
5.292220115661621,5559,16333,6970,32767,-32768,32466
5.304155349731445,3623,28293,7311,32767,-20850,32767
5.316086530685425,5476,24729,10235,27595,-21160,31918
5.328016042709351,1198,10174,12727,20886,-17871,29021
5.339953660964966,-7723,5695,12133,26480,-21473,30485
5.351860046386719,-7318,6704,8382,32628,-32710,28008
5.363790512084961,12468,19251,8684,27257,-32582,18047
5.375777721405029,7219,9776,8772,19553,-32744,10405
5.3877153396606445,5510,3657,4638,19227,-32768,10985
5.399649381637573,6877,9668,535,22864,-32765,13232
5.411544561386108,6169,7573,-364,22294,-32767,7602
5.423456907272339,9913,5274,-2567,24574,-32768,5756
5.435399293899536,11942,19884,1099,29965,-31274,13161
5.447338342666626,7923,18330,205,20922,-28327,12668
5.459271192550659,-2773,16267,-2609,9868,-29126,10718
5.471172571182251,2797,3070,-5498,3262,-32768,17
5.483102083206177,12648,-531,-4872,9738,-32768,2073
5.495056390762329,7262,18909,-4820,13957,-32768,12889
5.507018089294434,8711,17613,-5637,1722,-32768,6575
5.518942594528198,11018,9639,-6866,-7257,-32404,890
5.530848503112793,10517,8319,-7327,-8888,-26463,5253
5.542788982391357,5380,11585,-7158,-9062,-18612,8723
5.554725885391235,4786,12400,-7705,-17323,-22563,2741
5.566659688949585,7037,8607,-8692,-17029,-23260,-1764
5.578592777252197,5024,7647,-8618,-13500,-19372,445
5.590542554855347,1557,9640,-9224,-9868,-16729,1361
5.602478265762329,2261,12464,-9209,-9842,-18381,-2693
5.614412069320679,5894,11508,-8155,-12047,-18881,-8057
5.62634539604187,1505,11029,-7620,-16467,-10000,-7974
5.638281345367432,5531,13665,-7755,-16778,-10700,-4093
5.650245666503906,13149,10165,-5572,-18089,-3973,-6417
5.6621856689453125,9653,12316,-3614,-12010,9224,-16073
5.674119234085083,4752,14848,-4318,-7231,15102,7
5.686047792434692,10840,8120,-6638,4765,16032,-18979
5.697981595993042,13125,7490,-6871,14029,25901,-9181
5.709885120391846,10595,10405,-8686,21117,32767,5411
5.7218146324157715,5238,11639,-10079,27742,32767,5344
5.734297513961792,585,14312,-11909,32767,32611,-4498
5.7462944984436035,-6470,17566,-10958,32674,26648,-7781
5.758248329162598,-3942,23687,-11218,32667,12261,-1003
5.770242214202881,1509,29032,-8551,27472,-579,-9207
5.78217887878418,5132,28682,-7226,15036,-8006,-17459
